"","Time","Lon","Lat","Alt","Ele"
"122","2015-02-22 17:05:42",-73.2577066,-44.2028163,54.1428571428571,56.856
"123","2015-02-22 17:05:42",-73.2576975,-44.2028186,54,56.823
"124","2015-02-22 17:05:43",-73.2576835,-44.2028203,54,56.676
"125","2015-02-22 17:05:43",-73.2576728,-44.2028198,53.7619047619048,56.637
"126","2015-02-22 17:05:44",-73.2576682,-44.2028184,53.7142857142857,56.597
"127","2015-02-22 17:05:44",-73.2576632,-44.2028155,53.7619047619048,56.555
"128","2015-02-22 17:05:45",-73.2576595,-44.2028137,53.5714285714286,56.528
"129","2015-02-22 17:05:45",-73.2576525,-44.2028124,53.7142857142857,56.512
"130","2015-02-22 17:05:46",-73.2576469,-44.2028122,53.7619047619048,56.501
"131","2015-02-22 17:05:46",-73.2576375,-44.2028123,53.7142857142857,56.442
"132","2015-02-22 17:05:47",-73.2576273,-44.2028126,53.7619047619048,56.378
"133","2015-02-22 17:05:47",-73.2576204,-44.2028126,53.7142857142857,56.295
"134","2015-02-22 17:05:48",-73.2576109,-44.2028117,53.6190476190476,56.257
"135","2015-02-22 17:05:48",-73.2576052,-44.2028103,53.5714285714286,56.23
"136","2015-02-22 17:05:49",-73.2575969,-44.2028078,53.6666666666667,56.204
"137","2015-02-22 17:05:50",-73.2575904,-44.2028064,53.6666666666667,56.208
"138","2015-02-22 17:05:50",-73.2575785,-44.2028063,53.7142857142857,56.227
"139","2015-02-22 17:05:51",-73.257564,-44.2028085,53.5714285714286,56.201
"140","2015-02-22 17:05:51",-73.2575537,-44.20281,53.3809523809524,56.153
"141","2015-02-22 17:05:52",-73.2575382,-44.2028124,53.4761904761905,56.193
"142","2015-02-22 17:05:52",-73.2575278,-44.2028133,53.5714285714286,56.197
"143","2015-02-22 17:05:53",-73.2575127,-44.2028143,53.4285714285714,56.248
"144","2015-02-22 17:05:53",-73.2575031,-44.202815,53.5238095238095,56.305
"145","2015-02-22 17:05:54",-73.2574889,-44.2028161,53.5714285714286,56.372
"146","2015-02-22 17:05:54",-73.2574796,-44.2028174,53.7142857142857,56.391
"147","2015-02-22 17:05:55",-73.2574648,-44.2028201,53.7142857142857,56.461
"148","2015-02-22 17:05:55",-73.257449,-44.2028229,53.3809523809524,56.498
"149","2015-02-22 17:05:56",-73.2574381,-44.2028247,53.7142857142857,56.551
"150","2015-02-22 17:05:56",-73.2574218,-44.2028268,53.6666666666667,56.579
"151","2015-02-22 17:05:57",-73.2574114,-44.2028282,53.7142857142857,56.657
"152","2015-02-22 17:05:57",-73.2573962,-44.2028299,53.7142857142857,56.67
"153","2015-02-22 17:05:58",-73.2573817,-44.2028323,53.7619047619048,56.739
"154","2015-02-22 17:05:58",-73.2573722,-44.2028343,53.8571428571429,56.8
"155","2015-02-22 17:05:59",-73.257358,-44.2028375,53.8571428571429,56.86
"156","2015-02-22 17:05:59",-73.2573485,-44.2028398,53.5714285714286,56.89
"157","2015-02-22 17:06:00",-73.2573347,-44.202843,53.6666666666667,56.872
"158","2015-02-22 17:06:00",-73.2573212,-44.2028458,53.3809523809524,56.693
"159","2015-02-22 17:06:01",-73.2573124,-44.2028474,53.1428571428571,56.518
"160","2015-02-22 17:06:01",-73.2572992,-44.2028494,52.9523809523809,56.262
"161","2015-02-22 17:06:02",-73.2572908,-44.2028506,52.6190476190476,55.967
"162","2015-02-22 17:06:02",-73.2572789,-44.2028526,52.6190476190476,55.646
"163","2015-02-22 17:06:03",-73.2572711,-44.2028537,52.1904761904762,55.424
"164","2015-02-22 17:06:03",-73.2572598,-44.2028555,51.7142857142857,55.038
"165","2015-02-22 17:06:04",-73.2572523,-44.2028564,51.6666666666667,54.779
"166","2015-02-22 17:06:04",-73.2572413,-44.202858,51.2857142857143,54.626
"167","2015-02-22 17:06:05",-73.2572307,-44.2028597,51.2857142857143,54.588
"168","2015-02-22 17:06:05",-73.2572237,-44.2028608,50.9047619047619,54.5
"169","2015-02-22 17:06:06",-73.2572138,-44.2028623,50.4761904761905,54.347
"170","2015-02-22 17:06:06",-73.2572073,-44.2028633,50.7142857142857,54.182
"171","2015-02-22 17:06:07",-73.2571978,-44.2028641,50,53.907
"172","2015-02-22 17:06:07",-73.2571918,-44.2028648,50.1904761904762,53.729
"173","2015-02-22 17:06:08",-73.2571829,-44.2028657,49.6190476190476,53.46
"174","2015-02-22 17:06:09",-73.2571741,-44.2028663,49.5714285714286,53.198
"175","2015-02-22 17:06:09",-73.2571683,-44.2028668,49.5714285714286,53.183
"176","2015-02-22 17:06:10",-73.2571598,-44.2028675,49.3809523809524,53.17
"177","2015-02-22 17:06:10",-73.2571543,-44.2028679,49.3809523809524,53.147
"178","2015-02-22 17:06:11",-73.2571465,-44.2028686,49.5238095238095,53.121
"179","2015-02-22 17:06:11",-73.2571411,-44.2028692,49.4761904761905,53.086
"180","2015-02-22 17:06:12",-73.2571314,-44.2028709,49.6190476190476,53.033
"181","2015-02-22 17:06:12",-73.2571197,-44.2028737,49.5714285714286,52.976
"182","2015-02-22 17:06:13",-73.2571108,-44.202876,49.4285714285714,52.881
"183","2015-02-22 17:06:13",-73.2570966,-44.2028794,49.4285714285714,52.802
"184","2015-02-22 17:06:14",-73.257087,-44.2028814,49.2857142857143,52.764
"185","2015-02-22 17:06:14",-73.257073,-44.2028838,49.2857142857143,52.731
"186","2015-02-22 17:06:15",-73.2570639,-44.2028851,49.2857142857143,52.703
"187","2015-02-22 17:06:15",-73.2570508,-44.2028868,49.1904761904762,52.63
"188","2015-02-22 17:06:16",-73.2570426,-44.2028878,49.1428571428571,52.604
"189","2015-02-22 17:06:16",-73.2570307,-44.2028896,49.2380952380952,52.605
"190","2015-02-22 17:06:17",-73.2570189,-44.2028917,49.2857142857143,52.604
"191","2015-02-22 17:06:17",-73.2570109,-44.2028935,49.2857142857143,52.621
"192","2015-02-22 17:06:18",-73.2569976,-44.2028968,49.4285714285714,52.633
"193","2015-02-22 17:06:18",-73.256988,-44.2028994,49.1428571428571,52.598
"194","2015-02-22 17:06:19",-73.256973,-44.2029038,49.1428571428571,52.626
"195","2015-02-22 17:06:19",-73.2569581,-44.2029082,49.1904761904762,52.682
"196","2015-02-22 17:06:20",-73.2569483,-44.2029106,49.2857142857143,52.741
"197","2015-02-22 17:06:20",-73.2569334,-44.2029133,49.2857142857143,52.732
"198","2015-02-22 17:06:21",-73.2569233,-44.2029149,49.1904761904762,52.692
"199","2015-02-22 17:06:21",-73.2569071,-44.2029177,49.2857142857143,52.621
"200","2015-02-22 17:06:22",-73.2568905,-44.2029208,49.2380952380952,52.562
"201","2015-02-22 17:06:22",-73.2568795,-44.2029232,49.2857142857143,52.587
"202","2015-02-22 17:06:23",-73.2568626,-44.2029266,49.2857142857143,52.579
"203","2015-02-22 17:06:23",-73.2568512,-44.2029289,49.2380952380952,52.569
"204","2015-02-22 17:06:24",-73.2568328,-44.2029338,49.3333333333333,52.618
"205","2015-02-22 17:06:25",-73.2568108,-44.2029383,49.1428571428571,52.62
"206","2015-02-22 17:06:25",-73.2567949,-44.2029467,49,52.674
"207","2015-02-22 17:06:26",-73.2567724,-44.2029566,49.1428571428571,52.802
"208","2015-02-22 17:06:26",-73.2567592,-44.2029633,49.4285714285714,52.877
"209","2015-02-22 17:06:27",-73.2567422,-44.2029735,49.4285714285714,52.921
"210","2015-02-22 17:06:27",-73.2567316,-44.2029799,49.5714285714286,52.915
"211","2015-02-22 17:06:28",-73.2567153,-44.2029887,49.4761904761905,52.843
"212","2015-02-22 17:06:28",-73.2566979,-44.2029946,49.4285714285714,52.758
"213","2015-02-22 17:06:29",-73.2566859,-44.203004,49.2857142857143,52.735
"214","2015-02-22 17:06:29",-73.2566679,-44.2030142,49.2857142857143,52.698
"215","2015-02-22 17:06:30",-73.2566562,-44.2030211,49.3333333333333,52.705
"216","2015-02-22 17:06:30",-73.2566387,-44.203031,49.3333333333333,52.677
"217","2015-02-22 17:06:31",-73.2566273,-44.2030373,49.2857142857143,52.656
"218","2015-02-22 17:06:31",-73.2566105,-44.2030468,49.3809523809524,52.598
"219","2015-02-22 17:06:32",-73.2565996,-44.2030529,49.2380952380952,52.532
"220","2015-02-22 17:06:32",-73.2565842,-44.203062,49.4285714285714,52.483
"221","2015-02-22 17:06:33",-73.2565696,-44.2030711,49.4285714285714,52.423
"222","2015-02-22 17:06:33",-73.25656,-44.2030773,49.3809523809524,52.324
"223","2015-02-22 17:06:34",-73.2565458,-44.2030872,49.2857142857143,52.326
"224","2015-02-22 17:06:34",-73.2565361,-44.2030938,49.2857142857143,52.29
"225","2015-02-22 17:06:35",-73.2565215,-44.2031038,49.2857142857143,52.224
"226","2015-02-22 17:06:35",-73.2565067,-44.2031141,49.1428571428571,52.219
